timestamp,v_left,v_right,s0,s1,s2,s3,s4,s5,s6,s7,pos_x,pos_y
1775324711.302645,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.023565882448357,0.2844985856717842
1775324711.3902726,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.018220069440702,0.226280261844914
1775324711.5019658,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.008871348610942,0.12437865425391978
1775324711.6730342,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9968669851389533,-0.0066129644170015
1775324711.845731,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9875360622464107,-0.10850018595022823
1775324711.9659193,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.974230172404447,-0.25405598167436255
1775324712.115887,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9635933696044376,-0.3704823084022993
1775324712.265391,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9502996545754234,-0.5160545823356414
1775324712.3995543,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9397181553444485,-0.6325064742167407
1775324712.5656207,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.9291377719900673,-0.748935031298491
1775324712.6948128,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.915915547072708,-0.8944915994682955
1775324712.80264,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.907987837945473,-0.9818234485487025
1775324712.9518538,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.898732745762472,-1.0837336410090748
1775324716.11982,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.884206643902684,-1.243881598484117
1775324718.0665967,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8736460367405807,-1.3603442721783634
1775324718.3795989,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8644046057799084,-1.462252537991827
1775324718.5842905,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8538321309376014,-1.5787206144482453
1775324718.6993861,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8419277005872443,-1.7097245927708493
1775324718.8333867,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8339811920658327,-1.7970885836325579
1775324718.9463408,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8233870693891303,-1.9135428025747736
1775324719.0809464,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.811469935368643,-2.0445745795218797
1775324719.1986108,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.800870252706324,-2.161051270355531
1775324719.3146253,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.7915844717927287,-2.2629503901519326
1775324719.4643016,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.783614027389757,-2.350290594850356
1775324719.5980978,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.7716373607238505,-2.4813287046908177
1775324719.7136333,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.7609841655024123,-2.597789558870466
1775324719.8508446,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.752992480255278,-2.685142410436546
1775324720.020613,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.7396471517193364,-2.830735326371486
1775324720.1346807,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.728963411368508,-2.9471900623557663
1775324720.2682958,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.7169347375627697,-3.078186172037627
1775324720.4238155,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.706242360878559,-3.194640842606762
1775324720.5518026,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.695552020168042,-3.3110716463858125
1775324720.6856465,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.683527786313652,-3.4420737081048394
1775324720.828712,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.6728357864961123,-3.5585015361030417
1775324720.9746654,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.662139454309202,-3.6749493433284224
1775324721.0911467,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.651440844966632,-3.7913712085061597
1775324721.2239819,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.642071551731072,-3.8932573345274135
1775324721.3912053,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.627342145231483,-4.053352427129613
1775324721.5255811,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.6179622630495936,-4.155249524719346
1775324721.6594,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.605896264439984,-4.2862383024792186
1775324721.8591762,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.597846891815551,-4.373567187844256
1775324721.9694424,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.5830841841450676,-4.533680218375429
1775324722.0757592,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.572353425562239,-4.650117173348489
1775324722.2076159,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.5616218770113175,-4.766563925407782
1775324722.3576026,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.550883073734325,-4.883013899701273
1775324722.4914296,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.538783317429787,-5.0140096021921305
1775324722.62587,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.5294070077473076,-5.115884528757652
1775324722.7758567,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.518676508233785,-5.232330004306965
1775324722.8919313,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.5065959960849353,-5.36331276955659
1775324723.0243087,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.498534650792178,-5.450646465985286
1775324723.1788204,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.4877829168886705,-5.56707541925404
1775324723.3104799,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.4770217805353814,-5.683550710019349
1775324723.426573,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.466263010265091,-5.7999786448229935
1775324723.5405335,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.45683465990026,-5.901883951025782
1775324723.7044888,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.4474081611472966,-6.003737009109994
1775324723.8389537,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.433935061021903,-6.149295709781571
1775324723.9544392,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.4231451820326444,-6.265724381135487
1775324724.1050339,2.50767327710281,3.49232672289719,1.0,1.0,1.0,0.9128242959482799,0.9070759984846654,0.9362015344640517,1.0,1.0,-2.4137003540358504,-6.367606499623768
1775324724.2389998,1.1056679836576102,4.894332016342389,1.0,1.0,0.943291877465417,0.809319085467361,0.7894302126833133,0.798716965548041,0.8741847046802363,1.0,-2.3991893845892607,-6.500465982143794
1775324724.3492055,-2.4762376365194534,6.0,1.0,1.0,1.0,0.818315867180945,0.6995677567531026,0.6810630091043248,0.6902908686149306,1.0,-2.378700336929407,-6.602245515609712
1775324724.453992,-5.208973961752884,6.0,1.0,1.0,1.0,1.0,0.9094711575014737,0.7030581848074469,0.6480774465611445,0.6464845857601079,-2.3410012245700944,-6.683341042901397
1775324724.6103692,2.192955122591213,3.807044877408787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844548445650629,-2.3080287774531416,-6.7357661796231865
1775324724.7375069,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2722973454322313,-6.7192966530159115
1775324724.8772078,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.269517252329778,-6.637598416273346
1775324725.0301344,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2764294207049076,-6.521493810597391
1775324725.158452,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.283425031776802,-6.390142525644136
1775324725.3063304,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.290392436929708,-6.258771431214127
1775324725.440647,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2965865751067973,-6.142008325501114
1775324725.6107006,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.3027832135361717,-6.025227603884188
1775324725.738391,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.308980911292971,-5.908463002405633
1775324725.8397152,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.3143994377534747,-5.806297579150243
1775324727.9551086,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.318279801468404,-5.733305162823102
